MoleculeType	Identifier	MoleculeName	
Proteins	P00533	UniProt:P00533 EGFR	
Proteins	Q16543	UniProt:Q16543 CDC37	
Proteins	P07900	UniProt:P07900 HSP90AA1	
Proteins	P01133	UniProt:P01133 EGF	
Proteins	P29353	UniProt:P29353 SHC1	
Proteins	Q07889	UniProt:Q07889 SOS1	
Proteins	P62993-1	UniProt:P62993-1 GRB2	
Proteins	P22681	UniProt:P22681 CBL	
Proteins	P19174	UniProt:P19174 PLCG1	
Proteins	P01116-2	UniProt:P01116-2 KRAS	
Proteins	P01111	UniProt:P01111 NRAS	
Proteins	P01116-1	UniProt:P01116-1 KRAS	
Proteins	P01112	UniProt:P01112 HRAS	
Proteins	P0CG48	UniProt:P0CG48 UBC	
Proteins	P0CG47	UniProt:P0CG47 UBB	
Proteins	P62987	UniProt:P62987 UBA52	
Proteins	P62979	UniProt:P62979 RPS27A	
Proteins	Q13480	UniProt:Q13480 GAB1	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	Q99075	UniProt:Q99075 HBEGF	
Proteins	O14944	UniProt:O14944 EREG	
Proteins	P01135	UniProt:P01135 TGFA	
Proteins	Q6UW88	UniProt:Q6UW88 EPGN	
Proteins	P35070	UniProt:P35070 BTC	
Proteins	P15514	UniProt:P15514 AREG	
